model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.04019348710143006,0.003411080858381291,11.783211471716227,4.764261507638616e-32,0.033507891470648754,0.04687908273221136,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,-3.795335385201487,4.755727353029159,-0.7980557133461508,0.4248381598355031,-13.116389717430641,5.525718947027668,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,4.687016060121636,5.0916654925003915,0.9205270980635373,0.3572973790101529,-5.292464926504528,14.6664970467478,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.0420830621421133,0.0035826410994852023,11.746379548920014,7.370972039845373e-32,0.03506121461758932,0.049104909666637275,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,-4.596730149866584,4.969283407678829,-0.9250287763349231,0.3549509391232344,-14.33634665788956,5.142886358156392,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,6.090643896556087,5.2399883689348,1.1623392014883824,0.2450977089538252,-4.179544585964902,16.360832379077078,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.04140791084802254,0.0035605410639395845,11.629668105051,2.9122767280819476e-31,0.03442937859722503,0.04838644309882005,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,-4.279575257119886,4.900937059537849,-0.8732157146950675,0.3825455109229493,-13.885235384311704,5.3260848700719325,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,7.081710913897775,5.096276192711748,1.3895853847217745,0.16465481637766188,-2.906806879086159,17.07022870688171,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.040921260214037254,0.0033375329808619037,12.260930588158416,1.4680421986604221e-34,0.034379815774333314,0.047462704653741195,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,-0.5665741148359854,4.632174366887516,-0.12231277796580053,0.9026513126284187,-9.645469044045143,8.512320814373172,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,7.974400410586409,5.047321627304185,1.5799271374837272,0.11412355365175665,-1.9181681973198916,17.86696901849271,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.042684694818474755,0.0035028981776346513,12.185536848033019,3.712008614388295e-34,0.03581914054879985,0.04955024908814966,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,-2.2994950487317882,4.864471319387785,-0.472712222511611,0.6364185053439524,-11.833683638559885,7.234693541096307,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,7.525399403167399,5.214461689550318,1.4431785774259607,0.14897017261406745,-2.6947577071151043,17.745556513449902,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.04204130879212041,0.0034686685782396574,12.120301448187446,8.245529889508223e-34,0.03524284330446493,0.04883977427977589,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,-2.6979574594862745,4.81304554520673,-0.5605509929514685,0.5751036680417247,-12.131353384042413,6.735438465069865,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_enet_additive_cs_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,7.697254271491191,5.0218755102251285,1.53274493878207,0.12533871196840207,-2.145440863393768,17.539949406376152,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,rank_ic,0.034369971716613136,0.002804132422504342,12.256900366323523,1.5428947292035092e-34,0.02887397316062357,0.0398659702726027,2266,2266,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,activity_tercile_1,1152254
