model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target
ld2_group_ridge_characteristics_textcore_pca_raw_select_retain,group_ridge,characteristics_textcore,0,ew_spread_bp,23.170118297034897,5.9342635456041934,3.9044639859647225,9.443445287382425e-05,11.539175472881713,34.801061121188084,2266,2266,0,5,pca,select,retain,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_retain,group_ridge,characteristics_textcore,0,cap_spread_bp,16.6147791834538,6.850726926110574,2.4252578394460484,0.0152975176905027,3.1876011403582822,30.041957226549314,2266,2266,0,5,pca,select,retain,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_recent,group_ridge,characteristics_textcore,0,rank_ic,0.07020731182941077,0.003552677165840509,19.76180456374251,6.349375595830825e-87,0.06324419253566554,0.077170431123156,2266,2266,0,5,pca,select,recent,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_recent,group_ridge,characteristics_textcore,0,ew_spread_bp,23.53729179958424,5.838345438273341,4.031500370855971,5.542190909726236e-05,12.094345011264775,34.9802385879037,2266,2266,0,5,pca,select,recent,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_recent,group_ridge,characteristics_textcore,0,cap_spread_bp,15.465006784162744,6.587151060036051,2.3477534738786003,0.018887017372874487,2.5544279457672445,28.375585622558244,2266,2266,0,5,pca,select,recent,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_union,group_ridge,characteristics_textcore,0,rank_ic,0.07045275120546016,0.003579783475361862,19.680729767695922,3.1542768521368028e-86,0.06343650452129929,0.07746899788962103,2266,2266,0,5,pca,select,union,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_union,group_ridge,characteristics_textcore,0,ew_spread_bp,23.734835480506288,5.866853737006972,4.0455815918490625,5.2193382591069706e-05,12.236013453408397,35.23365750760418,2266,2266,0,5,pca,select,union,raw
ld2_group_ridge_characteristics_textcore_pca_raw_select_union,group_ridge,characteristics_textcore,0,cap_spread_bp,14.483130067346465,6.654502462253308,2.1764407105564842,0.029522322476558366,1.4405449062968696,27.52571522839606,2266,2266,0,5,pca,select,union,raw
ld2_ols_characteristics_full_dgtw_fixed504_retain,ols,characteristics,504,rank_ic,0.059337629691526374,0.0016464599637464102,36.03952176067953,2.0125973226443047e-284,0.05611062746059629,0.06256463192245645,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_retain,ols,characteristics,504,ew_spread_bp,17.93143165478288,3.611192458144196,4.965515369955637,6.851886587783427e-07,10.85362449557759,25.00923881398817,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_retain,ols,characteristics,504,cap_spread_bp,9.39416530296561,4.456757271152774,2.1078476415512166,0.03504417039027255,0.6590815636691616,18.129249042262057,2266,2266,0,5,full,fixed504,retain,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_recent,ols,characteristics,504,rank_ic,0.059849053588754045,0.0016296613568109368,36.72484061711562,2.9319227733950033e-295,0.05665497602240793,0.06304313115510016,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_recent,ols,characteristics,504,ew_spread_bp,17.60369016845387,3.5811660999967514,4.915630740632175,8.849706669932101e-07,10.584733589804472,24.622646747103268,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_recent,ols,characteristics,504,cap_spread_bp,8.70743735130469,4.156021912686593,2.095137497885787,0.03615877142074559,0.561784083479699,16.85309061912968,2266,2266,0,5,full,fixed504,recent,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_union,ols,characteristics,504,rank_ic,0.06015212972962192,0.0016532398580941222,36.3843936105957,7.515311767539645e-290,0.05691183914995133,0.06339242030929251,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_union,ols,characteristics,504,ew_spread_bp,18.253784262286263,3.6320994427372333,5.0256840568577035,5.016411780287146e-07,11.135000166253285,25.372568358319242,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ols_characteristics_full_dgtw_fixed504_union,ols,characteristics,504,cap_spread_bp,10.347318541589223,4.316090758316285,2.397382057282255,0.016512696043179988,1.8879361012831328,18.80670098189531,2266,2266,0,5,full,fixed504,union,dgtw
ld2_ols_characteristics_full_dgtw_select_retain,ols,characteristics,0,rank_ic,0.05996983153378766,0.0016460479714661004,36.432614707075516,1.296880883738174e-290,0.056743636792888894,0.06319602627468643,2266,2266,0,5,full,select,retain,dgtw
ld2_ols_characteristics_full_dgtw_select_retain,ols,characteristics,0,ew_spread_bp,18.87197944610349,3.5793517872893528,5.272457296072388,1.3460916473079795e-07,11.856578855017288,25.887380037189693,2266,2266,0,5,full,select,retain,dgtw
ld2_ols_characteristics_full_dgtw_select_retain,ols,characteristics,0,cap_spread_bp,10.448608614565964,4.367218850319144,2.3925085901757384,0.016733636375681274,1.8890169553360199,19.008200273795907,2266,2266,0,5,full,select,retain,dgtw
ld2_ols_characteristics_full_dgtw_select_recent,ols,characteristics,0,rank_ic,0.06025833084567313,0.0016522058730848487,36.47144210495043,3.1460452154945385e-291,0.05702006683938127,0.06349659485196499,2266,2266,0,5,full,select,recent,dgtw
ld2_ols_characteristics_full_dgtw_select_recent,ols,characteristics,0,ew_spread_bp,18.321899027401418,3.551660414766846,5.158685484463522,2.4868966040044994e-07,11.36077252914181,25.283025525661024,2266,2266,0,5,full,select,recent,dgtw
