family,comparison,model_id,benchmark_id,metric,family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
estimator,versus_ols,lasso_all_raw_fit756_val126,ols_all_raw_fit756_val126,rank_ic,36,1.0,0.0003168951562091374,0.0005810095033684282,0.5454216400453414,0.5854635604481286,-0.000821862545068485,0.0014556528574867598,1258,1258,0,63,raw,2014-2018
history,versus_fit504,lasso_all_raw_fit756_val126,lasso_all_raw_fit504_val126,rank_ic,32,0.11815272230382104,-0.0018594848145313393,0.0006404680797330057,-2.903321607076046,0.0036922725719944075,-0.003114779184055558,-0.0006041904450071205,1258,1258,0,5,raw,2014-2018
history,versus_fit504,lasso_all_raw_fit756_val126,lasso_all_raw_fit504_val126,rank_ic,32,0.055270798335141536,-0.0018594848145313393,0.0005934166357311799,-3.133523232357937,0.001727212447973173,-0.0030225600483913765,-0.0006964095806713021,1258,1258,0,21,raw,2014-2018
history,versus_fit504,lasso_all_raw_fit756_val126,lasso_all_raw_fit504_val126,rank_ic,32,0.061880362806971276,-0.0018594848145313393,0.0005997910029732943,-3.100221252592102,0.0019337613377178524,-0.003035053578610152,-0.0006839160504525262,1258,1258,0,63,raw,2014-2018
feature,versus_core,enet_all_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,1.0,-0.0015855306679244288,0.0012103564320901827,-1.3099700434411308,0.1902059698991272,-0.0039577856832775865,0.0007867243474287289,1258,1258,0,5,raw,2014-2018
feature,versus_core,enet_all_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,1.0,-0.0015855306679244288,0.001273240327102447,-1.2452721094160366,0.2130317441534464,-0.004081035852709223,0.0009099745168603649,1258,1258,0,21,raw,2014-2018
feature,versus_core,enet_all_raw_fit756_val126,enet_core_raw_fit756_val126,rank_ic,48,1.0,-0.0015855306679244288,0.00110051463938818,-1.440717470878796,0.149664517097555,-0.0037424997255843468,0.0005714383897354892,1258,1258,0,63,raw,2014-2018
estimator,versus_ols,enet_all_raw_fit756_val126,ols_all_raw_fit756_val126,rank_ic,36,1.0,0.000331249486265058,0.0005629160210963667,0.5884527600047659,0.5562284332408896,-0.0007720456414044101,0.001434544613934526,1258,1258,0,5,raw,2014-2018
estimator,versus_ols,enet_all_raw_fit756_val126,ols_all_raw_fit756_val126,rank_ic,36,1.0,0.000331249486265058,0.0005439234678583705,0.6090001734422504,0.5425243239346994,-0.0007348209210834779,0.0013973198936135939,1258,1258,0,21,raw,2014-2018
estimator,versus_ols,enet_all_raw_fit756_val126,ols_all_raw_fit756_val126,rank_ic,36,1.0,0.000331249486265058,0.0005868219378161163,0.5644804069490271,0.5724272307109433,-0.0008189003771925331,0.001481399349722649,1258,1258,0,63,raw,2014-2018
history,versus_fit504,enet_all_raw_fit756_val126,enet_all_raw_fit504_val126,rank_ic,32,0.08199256972215634,-0.0019415487550629364,0.0006437732149769576,-3.0158893068150245,0.0025622678038173855,-0.003203321070629335,-0.0006797764394965377,1258,1258,0,5,raw,2014-2018
history,versus_fit504,enet_all_raw_fit756_val126,enet_all_raw_fit504_val126,rank_ic,32,0.03795761767248757,-0.0019415487550629364,0.0005988398441488281,-3.242183655669392,0.0011861755522652366,-0.0031152532821022184,-0.0007678442280236544,1258,1258,0,21,raw,2014-2018
history,versus_fit504,enet_all_raw_fit756_val126,enet_all_raw_fit504_val126,rank_ic,32,0.046797726356595765,-0.0019415487550629364,0.0006101589848624862,-3.182037474217495,0.0014624289486436176,-0.0031374383902369293,-0.0007456591198889435,1258,1258,0,63,raw,2014-2018
feature,versus_core,ols_textcore_raw_fit756_val126,ols_core_raw_fit756_val126,rank_ic,48,6.091836178162879e-06,0.007681936522481251,0.0014540177210860636,5.283248210168517,1.2691325371172664e-07,0.004832114156269561,0.01053175888869294,1258,1258,0,5,raw,2014-2018
feature,versus_core,ols_textcore_raw_fit756_val126,ols_core_raw_fit756_val126,rank_ic,48,0.0001081199677043929,0.007681936522481251,0.0016243144120686526,4.729340862461405,2.252499327174852e-06,0.00449833877525734,0.010865534269705162,1258,1258,0,21,raw,2014-2018
feature,versus_core,ols_textcore_raw_fit756_val126,ols_core_raw_fit756_val126,rank_ic,48,0.000557001601981905,0.007681936522481251,0.00175190908453898,4.384894507526785,1.1604200041289686e-05,0.004248257812596313,0.01111561523236619,1258,1258,0,63,raw,2014-2018
history,versus_fit504,ols_textcore_raw_fit756_val126,ols_textcore_raw_fit504_val126,rank_ic,32,0.7628430762886088,0.0013442374295321053,0.0005948699216755391,2.259716587696789,0.023838846134019025,0.0001783138075618859,0.0025101610515023244,1258,1258,0,5,raw,2014-2018
history,versus_fit504,ols_textcore_raw_fit756_val126,ols_textcore_raw_fit504_val126,rank_ic,32,0.351059226548933,0.0013442374295321053,0.0005284712722082293,2.5436338742031865,0.010970600829654157,0.00030845276913991264,0.002380022089924298,1258,1258,0,21,raw,2014-2018
history,versus_fit504,ols_textcore_raw_fit756_val126,ols_textcore_raw_fit504_val126,rank_ic,32,0.20014055247133924,0.0013442374295321053,0.000491649536686918,2.7341374886479644,0.006254392264729351,0.0003806220446099419,0.0023078528144542688,1258,1258,0,63,raw,2014-2018
feature,versus_core,ridge_textcore_raw_fit756_val126,ridge_core_raw_fit756_val126,rank_ic,48,0.00021422838017914447,0.00706992184853666,0.0015407705927709737,4.588562295845661,4.463091253732176e-06,0.0040500669782671216,0.010089776718806199,1258,1258,0,5,raw,2014-2018
feature,versus_core,ridge_textcore_raw_fit756_val126,ridge_core_raw_fit756_val126,rank_ic,48,0.0008570021067508445,0.00706992184853666,0.0016479378548507017,4.290162901305022,1.785421055730926e-05,0.0038400230042690896,0.01029982069280423,1258,1258,0,21,raw,2014-2018
