model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target
lasso_textcore_raw_fit252_val126,lasso,textcore,252,ew_spread_bp,23.406280900549923,3.5833679644679854,6.5319222398152466,6.493086755457035e-11,16.38300874683807,30.429553054261778,2266,2266,0,5,raw
lasso_textcore_raw_fit252_val126,lasso,textcore,252,cap_spread_bp,1.4204165474843946,2.44512613616345,0.5809174939797231,0.5612960613427679,-3.371942617053547,6.212775712022337,2266,2266,0,5,raw
enet_textcore_raw_fit252_val126,enet,textcore,252,rank_ic,0.03988078008603844,0.0020624988506569935,19.336146574498557,2.666738022505716e-83,0.03583835662059547,0.0439232035514814,2266,2266,0,5,raw
enet_textcore_raw_fit252_val126,enet,textcore,252,ew_spread_bp,23.298224917491176,3.58515064132605,6.498534440626404,8.110622900139684e-11,16.27145878134144,30.32499105364091,2266,2266,0,5,raw
enet_textcore_raw_fit252_val126,enet,textcore,252,cap_spread_bp,1.2754445558391132,2.4280971858529754,0.5252856282978877,0.5993846465944996,-3.483538479395776,6.034427591074003,2266,2266,0,5,raw
ols_textall_raw_fit252_val126,ols,textall,252,rank_ic,0.03747111935834331,0.0016640505603244722,22.518017331779173,2.764634692235112e-112,0.03420964019165365,0.04073259852503297,2266,2266,0,5,raw
ols_textall_raw_fit252_val126,ols,textall,252,ew_spread_bp,27.477704666567785,3.3210458427367215,8.273810711364547,1.297440854117445e-16,20.96857442379734,33.98683490933823,2266,2266,0,5,raw
ols_textall_raw_fit252_val126,ols,textall,252,cap_spread_bp,1.9062506612443308,2.164241909644247,0.8807937101438331,0.37842948476077687,-2.335585535490583,6.148086857979244,2266,2266,0,5,raw
ridge_textall_raw_fit252_val126,ridge,textall,252,rank_ic,0.040831743068055995,0.002008802558139286,20.32640933406498,7.51012509288083e-92,0.036894562402051065,0.044768923734060925,2266,2266,0,5,raw
ridge_textall_raw_fit252_val126,ridge,textall,252,ew_spread_bp,26.881242594791797,3.7275523664397894,7.2114996523754415,5.533898941997781e-13,19.57537420608276,34.18711098350084,2266,2266,0,5,raw
ridge_textall_raw_fit252_val126,ridge,textall,252,cap_spread_bp,2.745092934489751,2.184575723539092,1.256579437787856,0.2089059643105895,-1.5365968051473988,7.026782674126901,2266,2266,0,5,raw
lasso_textall_raw_fit252_val126,lasso,textall,252,rank_ic,0.03866015903134283,0.0017969018697986342,21.514897213432803,1.129294046702013e-102,0.03513829608278483,0.042182021979900834,2266,2266,0,5,raw
lasso_textall_raw_fit252_val126,lasso,textall,252,ew_spread_bp,26.471854405928962,3.5024971031564207,7.5579946610299125,4.0933084346598644e-14,19.607086227786507,33.33662258407142,2266,2266,0,5,raw
lasso_textall_raw_fit252_val126,lasso,textall,252,cap_spread_bp,1.6558925026878737,2.175787889390012,0.7610541959364006,0.4466246972037514,-2.608573398514969,5.920358403890717,2266,2266,0,5,raw
enet_textall_raw_fit252_val126,enet,textall,252,rank_ic,0.03864165472114421,0.0018023325615280545,21.43980281218635,5.68540799348536e-102,0.0351091478123854,0.04217416162990302,2266,2266,0,5,raw
enet_textall_raw_fit252_val126,enet,textall,252,ew_spread_bp,26.23267756546821,3.4880038393859953,7.520828179502817,5.4430343061773466e-14,19.39631566233423,33.06903946860219,2266,2266,0,5,raw
enet_textall_raw_fit252_val126,enet,textall,252,cap_spread_bp,2.23387994390262,2.169280281608001,1.0297793064558416,0.3031136169764137,-2.0178312804219685,6.4855911682272085,2266,2266,0,5,raw
ols_core_raw_fit756_val126,ols,core,756,rank_ic,0.033894970200153085,0.0019560162681740724,17.328572748422896,2.863467880485605e-67,0.030061248761357462,0.03772869163894871,2266,2266,0,5,raw
ols_core_raw_fit756_val126,ols,core,756,ew_spread_bp,26.081669979298432,3.3796330120110376,7.717308325077176,1.1881200464127242e-14,19.457710994794176,32.70562896380269,2266,2266,0,5,raw
ols_core_raw_fit756_val126,ols,core,756,cap_spread_bp,-2.6250687659869656,1.6585053553223625,-1.5827918538597259,0.11346891404774911,-5.875679530585602,0.6255419986116704,2266,2266,0,5,raw
ridge_core_raw_fit756_val126,ridge,core,756,rank_ic,0.033782286206275075,0.0019466182643977344,17.35434564862002,1.8287218144505953e-67,0.029966984516407648,0.0375975878961425,2266,2266,0,5,raw
ridge_core_raw_fit756_val126,ridge,core,756,ew_spread_bp,26.89543158670072,3.3161778860356548,8.110370586558922,5.046561058211348e-16,20.395842363742666,33.395020809658774,2266,2266,0,5,raw
ridge_core_raw_fit756_val126,ridge,core,756,cap_spread_bp,-2.5333472846890333,1.6194398001252461,-1.5643355711605373,0.11773878266007422,-5.707390968065259,0.6406963986871927,2266,2266,0,5,raw
lasso_core_raw_fit756_val126,lasso,core,756,rank_ic,0.03434500399359923,0.0019933451065226562,17.229833349586556,1.5860762136145442e-66,0.030438119376055665,0.038251888611142794,2266,2266,0,5,raw
lasso_core_raw_fit756_val126,lasso,core,756,ew_spread_bp,26.39195580080434,3.3560410770397637,7.864014532290433,3.7201436265530674e-15,19.81423615916939,32.96967544243929,2266,2266,0,5,raw
lasso_core_raw_fit756_val126,lasso,core,756,cap_spread_bp,-2.6895859729199527,1.6469619237689577,-1.6330589882521525,0.10245659099037353,-5.917572027415911,0.5384000815760062,2266,2266,0,5,raw
enet_core_raw_fit756_val126,enet,core,756,rank_ic,0.03434419557109959,0.001993324856333198,17.2296028226313,1.5924096647828846e-66,0.030437350643198045,0.03825104049900114,2266,2266,0,5,raw
enet_core_raw_fit756_val126,enet,core,756,ew_spread_bp,26.390737469086744,3.3566872501802694,7.86213772750781,3.7763247941533185e-15,19.811751351368628,32.96972358680486,2266,2266,0,5,raw
enet_core_raw_fit756_val126,enet,core,756,cap_spread_bp,-2.681212230998223,1.6466056191600158,-1.6283269046330549,0.10345558756368947,-5.9084999412931305,0.5460754792966842,2266,2266,0,5,raw
ols_all_raw_fit756_val126,ols,all,756,rank_ic,0.03279964791994306,0.0018382163977227275,17.84319189001734,3.2650111992962384e-71,0.02919680998461556,0.03640248585527056,2266,2266,0,5,raw
ols_all_raw_fit756_val126,ols,all,756,ew_spread_bp,27.410255936811815,3.385190085230483,8.097109836284295,5.628025478610595e-16,20.775405288937993,34.04510658468564,2266,2266,0,5,raw
ols_all_raw_fit756_val126,ols,all,756,cap_spread_bp,-0.8272953209984981,1.786948417121415,-0.4629654180679616,0.6433891551988685,-4.329649860787329,2.6750592187903326,2266,2266,0,5,raw
ridge_all_raw_fit756_val126,ridge,all,756,rank_ic,0.033581091610116236,0.0019249239217652354,17.445412377295916,3.730165271645431e-68,0.029808310050476777,0.03735387316975569,2266,2266,0,5,raw
