model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,68.56702506097007,23.945192323339185,2.863498615299838,0.0041899064540300065,21.635310504340282,115.49873961759985,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,56.767488557683976,24.582166741175627,2.3092955619163256,0.020927185769453807,8.5873270830214,104.94765003234656,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.09359419812219169,0.0069859339812672755,13.397521129338434,6.251652755261466e-41,0.07990201912053332,0.10728637712385006,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,68.6028731408446,23.667557023431055,2.8986039020811165,0.0037482809229040025,22.215313772871724,114.99043250881746,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,61.39840137680243,23.834589111459685,2.5760209706020083,0.009994458455411914,14.683465132030925,108.11333762157395,2266,2266,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.09408465556257203,0.006613568002208168,14.226005619229836,6.318941422631029e-46,0.08112230046893751,0.10704701065620656,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,86.30027155610641,22.42201238116191,3.848908389177971,0.00011864536527314196,42.353934828117886,130.24660828409492,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,57.77107457032102,22.42369092782782,2.5763410116675782,0.00998521141320166,13.821447951320941,101.72070118932109,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.09556581037813063,0.00700784713369271,13.636971320145399,2.4137890157585496e-42,0.08183068238693067,0.10930093836933058,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,78.51330266353538,24.072009211533235,3.26160155446927,0.0011078474184268749,31.33303157341382,125.69357375365695,2266,2266,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
