family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
estimator,versus_ols,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.003084027926565602,0.0007860668730578107,3.9233658512649083,8.732039586556011e-05,0.0015433651659322745,0.00462469068719893,2266,2266,0,21,rank_ic,39,39,0.0034054954387568444,raw,full
estimator,versus_ols,li1_ridge_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.003084027926565602,0.0009527591843140362,3.2369437916109183,0.0012081720618070855,0.0012166542393703319,0.004951401613760872,2266,2266,0,63,rank_ic,39,39,0.047118710410476335,raw,full
text_information,full_text_given_additive_cs,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_enet_additive_cs_joint_raw_fixed504_union,-0.00030277312447448676,0.0002707451324058667,-1.1182957262574449,0.26344071161315386,-0.0008334238329795137,0.00022787758403054016,2266,2266,0,5,rank_ic,18,18,1.0,raw,full
text_information,full_text_given_additive_cs,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_enet_additive_cs_joint_raw_fixed504_union,-0.00030277312447448676,0.0002436640094250781,-1.242584512948284,0.2140209797865884,-0.0007803458072762682,0.0001747995583272946,2266,2266,0,21,rank_ic,18,18,1.0,raw,full
text_information,full_text_given_additive_cs,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_enet_additive_cs_joint_raw_fixed504_union,-0.00030277312447448676,0.00024430881257427126,-1.2393049652371504,0.21523258061817785,-0.0007816095982258048,0.0001760633492768312,2266,2266,0,63,rank_ic,18,18,1.0,raw,full
estimator,versus_ols,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.004263524016447519,0.0008883273206792057,4.7994966688491285,1.5906488152342692e-06,0.0025224344614333126,0.006004613571461726,2266,2266,0,5,rank_ic,39,39,6.203530379413649e-05,raw,full
estimator,versus_ols,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.004263524016447519,0.0009561130259390472,4.459225950049258,8.225617212765436e-06,0.002389576920457376,0.006137471112437662,2266,2266,0,21,rank_ic,39,39,0.00032079907129785204,raw,full
estimator,versus_ols,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ols_additive_cst_full_joint_raw_fixed504_union,0.004263524016447519,0.0011038072854625016,3.8625619459116707,0.00011220410094279129,0.0021001014910680934,0.006426946541826945,2266,2266,0,63,rank_ic,39,39,0.00437595993676886,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cst_full_joint_raw_fixed504_union,0.0011794960898819176,0.00042361356092313296,2.784368109726175,0.005363212800317728,0.000349228767109813,0.0020097634126540224,2266,2266,0,5,rank_ic,39,39,0.20916529921239138,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cst_full_joint_raw_fixed504_union,0.0011794960898819176,0.0004143554132808755,2.846580621555396,0.004419153762503158,0.00036737440305219205,0.001991617776711643,2266,2266,0,21,rank_ic,39,39,0.17234699673762316,raw,full
estimator,enet_versus_ridge,li1_enet_additive_cst_full_joint_raw_fixed504_union,li1_ridge_additive_cst_full_joint_raw_fixed504_union,0.0011794960898819176,0.0004336957008926948,2.7196398014877925,0.006535306266126748,0.0003294681358823801,0.0020295240438814553,2266,2266,0,63,rank_ic,39,39,0.25487694437894315,raw,full
characteristic_shape,c_squares_minus_c,li1_ols_c_squares_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,-0.0012553989426972723,0.0007188186774859454,-1.746475129288524,0.08072842506310157,-0.0026642576619844375,0.0001534597765898932,2266,2266,0,5,rank_ic,9,9,0.7265558255679141,raw,full
characteristic_shape,c_squares_minus_c,li1_ols_c_squares_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,-0.0012553989426972723,0.0007430838759459288,-1.6894444669508917,0.0911342855675421,-0.0027118165770437224,0.00020101869164917767,2266,2266,0,21,rank_ic,9,9,0.820208570107879,raw,full
characteristic_shape,c_squares_minus_c,li1_ols_c_squares_joint_raw_fixed504_union,li1_ols_additive_c_joint_raw_fixed504_union,-0.0012553989426972723,0.0007045572866055225,-1.781826640024749,0.07477750654433166,-0.002636305849489361,0.00012550796409481653,2266,2266,0,63,rank_ic,9,9,0.6729975588989849,raw,full
characteristic_shape,c_squares_minus_c,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.002206884301101516,0.0007485345583947626,-2.9482730975496896,0.003195546283426512,-0.0036739850767388447,-0.0007397835254641871,2266,2266,0,5,rank_ic,9,9,0.028759916550838607,raw,full
characteristic_shape,c_squares_minus_c,li1_ridge_c_squares_joint_raw_fixed504_union,li1_ridge_additive_c_joint_raw_fixed504_union,-0.002206884301101516,0.0007466799370536322,-2.955596088211221,0.003120654734934884,-0.0036703500857052694,-0.0007434185164977621,2266,2266,0,21,rank_ic,9,9,0.028085892614413955,raw,full
