model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,16.20870984369635,20.5256663629178,0.7896800794238489,0.42971462797105964,-24.02085698630778,56.438276673700486,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_cst_full_joint_raw_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,-9.108092318319493,17.880103387246034,-0.5093981908860963,0.6104731441683355,-44.15245099717435,25.936266360535363,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.05426903385706852,0.011085523473107086,4.895486802109294,9.80626734087967e-07,0.03254180710000526,0.07599626061413178,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,15.103112541921947,21.977062556341917,0.6872216204145829,0.4919430819448899,-27.971138554491986,58.177363638335876,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
li1_ridge_additive_cst_full_joint_raw_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,7.471788043018347,23.669868537102154,0.31566664729491145,0.7522555447993597,-38.92030180849965,53.86387789453635,252,252,0,5,additive_cst_full,,422,full,standard,original,none,fixed504,union,raw,2016
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,rank_ic,0.06664606719212189,0.007793861185359721,8.551097537804798,1.2192353528617017e-17,0.05137037996831219,0.0819217544159316,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,ew_spread_bp,19.781943983380614,9.7934030889503,2.0199254338566117,0.04339112265160845,0.587226642954711,38.97666132380652,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_c_joint_raw_fixed504_union,ols,characteristics,504,cap_spread_bp,13.664141960748536,10.616474538085724,1.287069630481339,0.19807001957741177,-7.14376577668599,34.47204969818306,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,rank_ic,0.06764114972079895,0.008069463140206767,8.38236057907884,5.1876624980372366e-17,0.05182529259142019,0.0834570068501777,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,ew_spread_bp,18.708726837565763,9.813905047083955,1.9063488741543064,0.05660495715798518,-0.5261736024146515,37.94362727754618,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_c_joint_raw_fixed504_union,ridge,characteristics,504,cap_spread_bp,17.12589379743627,10.161075686491914,1.6854410227652719,0.09190351454757119,-2.7894485922734873,37.041236187146026,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0672025640049319,0.007913351620390145,8.492301015889733,2.025854746111186e-17,0.05169267983196553,0.08271244817789826,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,17.96484584253282,10.196544111508016,1.7618563354477474,0.07809357362899481,-2.020013382796858,37.949705067862496,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_enet_additive_c_joint_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,17.267154723361113,11.856609767369422,1.4563315367671164,0.14530099150987083,-5.971373399428781,40.505682846151004,251,251,0,5,additive_c,,34,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.06752665522766652,0.007616625749673947,8.865691639182508,7.603062338488997e-19,0.05259834307458519,0.08245496738074784,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,20.674178282797303,9.739700849367145,2.122670768080176,0.033781450209457234,1.5847153978435244,39.76364116775108,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ols_additive_cs_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,14.44069307412756,10.416818388796797,1.3862863434058146,0.16565948524504004,-5.975895801408717,34.857281949663836,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.06830063371795779,0.007952627070501995,8.588436640176369,8.816066582270375e-18,0.0527137710772956,0.08388749635861997,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,18.126615214339537,10.120832060858248,1.7910202545938103,0.0732900447516072,-1.7098511185209233,37.9630815472,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
li1_ridge_additive_cs_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,16.680148254940676,14.404188958998988,1.158006764727964,0.24686127582320405,-11.551543331206833,44.91183984108818,251,251,0,5,additive_cs,,36,full,standard,original,none,fixed504,union,raw,2017
