model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,history_policy,refit_policy,target,horizon,target_column,stock_days
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,rank_ic,0.0847432436450585,0.005781192962124518,14.658435412942243,1.189831535345748e-48,0.07341231365161802,0.09607417363849899,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,ew_spread_bp,49.69286969784556,15.443938716384626,3.217629298484972,0.0012925475386518612,19.42330603428794,79.96243336140319,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_enet_characteristics_full_raw_fixed504_union,enet,characteristics,504,cap_spread_bp,39.799731747862275,15.799096656780671,2.51911439068138,0.011765042792160422,8.834071312304985,70.76539218341956,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,rank_ic,0.0847858296798824,0.005438123740323138,15.59100780499054,8.380099976163848e-55,0.07412730300537679,0.095444356354388,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,ew_spread_bp,60.57352953144943,14.75604008709694,4.104998981699466,4.0431666134211356e-05,31.652222406310145,89.49483665658872,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_retain,ols,characteristics_core,504,cap_spread_bp,36.445788286475874,15.240264762182928,2.391414378634167,0.016783598157073334,6.5754182377424435,66.31615833520931,2266,2266,0,5,full,fixed504,retain,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,rank_ic,0.08454997375391046,0.005419174503118774,15.602002427722404,7.054621217667806e-55,0.07392858690185992,0.095171360605961,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,ew_spread_bp,58.69634307873646,14.670738112362727,4.000912744074838,6.309862364339064e-05,29.94222475188638,87.45046140558654,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_recent,ols,characteristics_core,504,cap_spread_bp,34.291392840767244,15.198774248799403,2.2561946298712887,0.02405844472961498,4.502342703965599,64.0804429775689,2266,2266,0,5,full,fixed504,recent,raw,3,f_cumret3,3031789
ld2_ols_characteristics_core_full_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.08543319627426574,0.0054812735219690245,15.58637713149111,9.01005023646186e-55,0.07469009758179343,0.09617629496673805,2266,2266,0,5,full,fixed504,union,raw,3,f_cumret3,3031789
