model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,year
ridge_characteristics_raw_fit252_val126,ridge,characteristics,252,cap_spread_bp,-27.086823941228978,30.37040625759023,-0.8918821734384731,0.3724560906094929,-86.6117264019557,32.43807851949776,253,253,0,5,raw,2020
lasso_characteristics_raw_fit252_val126,lasso,characteristics,252,rank_ic,0.06504245604456262,0.009580421555658433,6.789101676444179,1.1283390250140095e-11,0.046265174838760886,0.08381973725036435,253,253,0,5,raw,2020
lasso_characteristics_raw_fit252_val126,lasso,characteristics,252,ew_spread_bp,-30.71183031435145,24.28267568212985,-1.2647630234979812,0.20595629011731753,-78.30500009959255,16.881339470889646,253,253,0,5,raw,2020
lasso_characteristics_raw_fit252_val126,lasso,characteristics,252,cap_spread_bp,-34.01847349373807,30.708018331029002,-1.1078042590382333,0.2679463603338227,-94.2050834591507,26.16813647167455,253,253,0,5,raw,2020
enet_characteristics_raw_fit252_val126,enet,characteristics,252,rank_ic,0.0645121131762005,0.00962080665183461,6.705478605985555,2.0074730361488528e-11,0.04565567863638127,0.08336854771601972,253,253,0,5,raw,2020
enet_characteristics_raw_fit252_val126,enet,characteristics,252,ew_spread_bp,-28.34456236904518,24.46690606435191,-1.158485764178536,0.24666585781492956,-76.29881706829957,19.609692330209207,253,253,0,5,raw,2020
enet_characteristics_raw_fit252_val126,enet,characteristics,252,cap_spread_bp,-28.660883939745172,30.72018905855889,-0.9329657407092038,0.35083765726216976,-88.87134809278203,31.54958021329168,253,253,0,5,raw,2020
ols_characteristics_sentiment_raw_fit252_val126,ols,characteristics_sentiment,252,rank_ic,0.06563147396754904,0.009148960558433403,7.173653613256724,7.302223120106435e-13,0.047699840777042105,0.08356310715805597,253,253,0,5,raw,2020
ols_characteristics_sentiment_raw_fit252_val126,ols,characteristics_sentiment,252,ew_spread_bp,-19.695412060352638,21.023494214134605,-0.9368286670020313,0.3488466967706396,-60.90070354924267,21.509879428537396,253,253,0,5,raw,2020
ols_characteristics_sentiment_raw_fit252_val126,ols,characteristics_sentiment,252,cap_spread_bp,-10.191483293608492,25.17226370019305,-0.40486955861384577,0.6855733956557669,-59.528213555331824,39.14524696811484,253,253,0,5,raw,2020
ridge_characteristics_sentiment_raw_fit252_val126,ridge,characteristics_sentiment,252,rank_ic,0.06677134354375223,0.01027015756391677,6.501491640045237,7.952745684182197e-11,0.046642204602923745,0.08690048248458072,253,253,0,5,raw,2020
ridge_characteristics_sentiment_raw_fit252_val126,ridge,characteristics_sentiment,252,ew_spread_bp,-34.47216126600181,23.20528886972658,-1.4855303659233434,0.13740338562794943,-79.95369170151409,11.009369169510464,253,253,0,5,raw,2020
ridge_characteristics_sentiment_raw_fit252_val126,ridge,characteristics_sentiment,252,cap_spread_bp,-26.185800656453942,29.9791800237505,-0.8734662067377654,0.3824090178884182,-84.94391378904757,32.572312476139686,253,253,0,5,raw,2020
lasso_characteristics_sentiment_raw_fit252_val126,lasso,characteristics_sentiment,252,rank_ic,0.06592155324943355,0.00981905620319985,6.713634374345563,1.89835633437107e-11,0.04667655672898724,0.08516654976987986,253,253,0,5,raw,2020
lasso_characteristics_sentiment_raw_fit252_val126,lasso,characteristics_sentiment,252,ew_spread_bp,-28.147309489143804,23.56094889505251,-1.194659417773041,0.23222012419221738,-74.3259207650355,18.031301786747893,253,253,0,5,raw,2020
lasso_characteristics_sentiment_raw_fit252_val126,lasso,characteristics_sentiment,252,cap_spread_bp,-23.93319799983326,29.34634827792204,-0.8155426281040487,0.4147617742868487,-81.4509837023295,33.58458770266297,253,253,0,5,raw,2020
enet_characteristics_sentiment_raw_fit252_val126,enet,characteristics_sentiment,252,rank_ic,0.06601771326264821,0.009854850836178264,6.699006850544077,2.098407576754165e-11,0.04670256055072438,0.08533286597457204,253,253,0,5,raw,2020
enet_characteristics_sentiment_raw_fit252_val126,enet,characteristics_sentiment,252,ew_spread_bp,-28.303473232672726,23.652116195322726,-1.1966571193435038,0.23144022711778212,-74.6607691336618,18.053822668316347,253,253,0,5,raw,2020
enet_characteristics_sentiment_raw_fit252_val126,enet,characteristics_sentiment,252,cap_spread_bp,-24.307831104863126,28.93987705086964,-0.8399424455790035,0.40094065735237905,-81.02894784158485,32.4132856318586,253,253,0,5,raw,2020
ols_characteristics_attention_raw_fit252_val126,ols,characteristics_attention,252,rank_ic,0.06509053772226202,0.008981764725742029,7.246965346989153,4.262129545089387e-13,0.047486602342195365,0.08269447310232866,253,253,0,5,raw,2020
ols_characteristics_attention_raw_fit252_val126,ols,characteristics_attention,252,ew_spread_bp,-23.049315487349894,20.24650228946207,-1.1384344395795531,0.2549391201041994,-62.731730787603304,16.633099812903517,253,253,0,5,raw,2020
ols_characteristics_attention_raw_fit252_val126,ols,characteristics_attention,252,cap_spread_bp,-8.370340247547151,25.68350833320707,-0.32590330491278163,0.7444975151419961,-58.70909157726736,41.96841108217306,253,253,0,5,raw,2020
ridge_characteristics_attention_raw_fit252_val126,ridge,characteristics_attention,252,rank_ic,0.06733808242252191,0.010126791103855705,6.649498516552139,2.9409331234272406e-11,0.04748993658000411,0.08718622826503972,253,253,0,5,raw,2020
ridge_characteristics_attention_raw_fit252_val126,ridge,characteristics_attention,252,ew_spread_bp,-30.833126825257928,23.024959048628258,-1.3391175532663913,0.1805324069355846,-75.96121730607894,14.294963655563087,253,253,0,5,raw,2020
ridge_characteristics_attention_raw_fit252_val126,ridge,characteristics_attention,252,cap_spread_bp,-19.76764733624265,30.392473070205234,-0.6504125969143834,0.5154257425560694,-79.33579995494838,39.80050528246309,253,253,0,5,raw,2020
