model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
ld3_ols_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ols,characteristics_textcore,504,ew_spread_bp,25.537209240740644,5.26461535849351,4.850726501707471,1.2301007000337956e-06,15.21875274563694,35.85566573584435,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ols_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ols,characteristics_textcore,504,cap_spread_bp,7.208802397592601,6.129989682632387,1.1759893198542777,0.23959914392158943,-4.805756605968995,19.223361401154197,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06830800671690164,0.003446935833294259,19.81702300840896,2.1230199803767407e-87,0.06155213662662433,0.07506387680717895,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,23.103203879495393,5.64406562813879,4.093362019802381,4.251631223990105e-05,12.041038521962927,34.16536923702786,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,11.41668688330887,6.807321771988948,1.677118735636492,0.09351926579169582,-1.9254186209648498,24.758792387582588,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_textcore,504,rank_ic,0.06852020821267815,0.003467706863225851,19.75951570166369,6.643913323014597e-87,0.06172362765181312,0.07531678877354318,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_textcore,504,ew_spread_bp,22.98690919204757,5.643908051306485,4.072870958045892,4.6437155447663486e-05,11.92505267943122,34.04876570466392,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_ridge_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics_textcore,504,cap_spread_bp,13.735848855992122,6.798250774178219,2.0204975238873164,0.04333180672451314,0.4115221807312732,27.060175531252973,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_original_none_fixed504_union,lasso,characteristics_textcore,504,rank_ic,0.06976740937906015,0.0035535666467519248,19.633066244256266,8.069476939745333e-86,0.06280254673476361,0.07673227202335668,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_original_none_fixed504_union,lasso,characteristics_textcore,504,ew_spread_bp,23.9729624186467,5.7797607134450395,4.147743065362572,3.3576891184077894e-05,12.644839581034894,35.3010852562585,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_original_none_fixed504_union,lasso,characteristics_textcore,504,cap_spread_bp,13.048536618247072,6.653087030626035,1.961275503864744,0.049846893234079245,0.008725652209511381,26.088347584284634,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_textcore,504,rank_ic,0.06957810849393227,0.0035619398931719076,19.533768278153893,5.669729979895448e-85,0.06259683458821888,0.07655938239964566,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_textcore,504,ew_spread_bp,24.372393492304546,5.812018832988047,4.19344709517645,2.7474717616105114e-05,12.98104590217946,35.76374108242963,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_lasso_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics_textcore,504,cap_spread_bp,13.738006001444296,6.595737662672206,2.082861190673624,0.03726387802244319,0.8105977311323773,26.665414271756212,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_original_none_fixed504_union,enet,characteristics_textcore,504,rank_ic,0.06948750280678356,0.0035495539409016856,19.576404236621293,2.4576917695425112e-85,0.06253050492143404,0.07644450069213309,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_original_none_fixed504_union,enet,characteristics_textcore,504,ew_spread_bp,23.48435477838535,5.8675514741034345,4.002411377562525,6.270015664890051e-05,11.984165211707714,34.984544345062986,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_original_none_fixed504_union,enet,characteristics_textcore,504,cap_spread_bp,10.773379297291493,6.875220551350032,1.5669867194552778,0.11711779587271715,-2.701805369124182,24.24856396370717,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_textcore,504,rank_ic,0.06950257445444388,0.003552244901681612,19.565817216471128,3.025149497816472e-85,0.0625403023828819,0.07646484652600587,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_textcore,504,ew_spread_bp,24.67207164165255,5.841839228625467,4.22333971821023,2.407085726471959e-05,13.222277150073383,36.12186613323172,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_enet_characteristics_textcore_full_raw_standard_expanded_none_fixed504_union,enet,characteristics_textcore,504,cap_spread_bp,11.706746232287625,6.788962293212482,1.7243793273077803,0.08463938703286038,-1.5993753548092933,25.012867819384542,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_textcore,504,rank_ic,0.07016673685647726,0.0035989976316153547,19.496188672117576,1.1827441647864937e-84,0.0631128311180662,0.07722064259488831,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
ld3_group_ridge_characteristics_textcore_full_raw_standard_original_none_fixed504_union,group_ridge,characteristics_textcore,504,ew_spread_bp,23.991888363138994,5.899697939689637,4.0666299543466335,4.769789162025916e-05,12.428692881682146,35.55508384459584,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,full
