model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,horizon,target_column,stock_days
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,68.56702506097007,23.945192323339185,2.863498615299838,0.0041899064540300065,21.635310504340282,115.49873961759985,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,56.767488557683976,24.582166741175627,2.3092955619163256,0.020927185769453807,8.5873270830214,104.94765003234656,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.09387354169993137,0.007027500210971611,13.358027589009858,1.0634480638596118e-40,0.08009989438507938,0.10764718901478336,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,68.1554820613924,23.929121796928992,2.8482232920950454,0.0043964066305625495,21.255265157739196,115.05569896504562,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,54.38646134361381,24.532325061564165,2.2169305684288108,0.026627836490038918,6.303987765918684,102.46893492130894,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.09380286707852706,0.00695899683770162,13.479366245768803,2.068761556605304e-41,0.08016348390810375,0.10744225024895036,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,67.59569076347526,23.643759195781307,2.8589231603888177,0.0042508173729060945,21.254774280606185,113.93660724634434,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,58.99362473999563,23.76538254514976,2.4823343208517192,0.013052474998967431,12.414330872685262,105.57291860730601,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.0932169058937168,0.006980162164842082,13.354547314564536,1.1143349778345889e-40,0.07953603944437718,0.10689777234305642,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,61.19888551154246,23.833533119113646,2.5677638814894435,0.010235685037999251,14.486018973737131,107.91175204934778,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,41.64556566878501,24.28558361012575,1.714826636960913,0.0863770163223013,-5.953303550597688,89.24443488816772,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.09359419812219169,0.0069859339812672755,13.397521129338434,6.251652755261466e-41,0.07990201912053332,0.10728637712385006,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,68.6028731408446,23.667557023431055,2.8986039020811165,0.0037482809229040025,22.215313772871724,114.99043250881746,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,cap_spread_bp,61.39840137680243,23.834589111459685,2.5760209706020083,0.009994458455411914,14.683465132030925,108.11333762157395,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.0930983432795833,0.00701561638624294,13.270158764972052,3.4484935842663258e-40,0.07934798783319809,0.10684869872596851,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,62.01335672755437,24.09043906454979,2.5741895596585422,0.010047520815492872,14.796963789279985,109.22974966582875,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,50.54947233184802,24.5236036382261,2.0612579243066125,0.03927844003350245,2.4840924297894347,98.61485223390662,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.09408465556257203,0.006613568002208168,14.226005619229836,6.318941422631029e-46,0.08112230046893751,0.10704701065620656,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,86.30027155610641,22.42201238116191,3.848908389177971,0.00011864536527314196,42.353934828117886,130.24660828409492,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,57.77107457032102,22.42369092782782,2.5763410116675782,0.00998521141320166,13.821447951320941,101.72070118932109,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,5,f_cumret5,3030544
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.10712403531393276,0.009255798327925268,11.573721846416369,5.59996144357179e-31,0.08898300394303318,0.12526506668483234,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,126.30296814378978,42.803916632527425,2.9507339066212928,0.0031701990243387726,42.408833146781035,210.19710314079853,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,95.48922043569607,40.37883388268917,2.364833534151002,0.018038176757846854,16.34816028789966,174.6302805834925,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.10875244272825335,0.009705994463584427,11.204667706774174,3.8680252236440965e-29,0.08972904314548272,0.12777584231102398,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,112.53311980240365,45.747891015409834,2.4598537179451117,0.013899365548138799,22.86890104353685,202.19733856127044,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,96.00320395089672,45.93419402687917,2.0900160759263313,0.03661635563443515,5.97383799933867,186.03256990245478,2266,2266,0,9,full,standard,original,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,rank_ic,0.10854349650985634,0.009696686245742417,11.193875284715455,4.369114021930005e-29,0.08953834069881629,0.12754865232089638,2266,2266,0,9,full,standard,expanded,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,113.10100026133557,45.60881715660062,2.4798056014694807,0.01314540292701397,23.70936125692583,202.4926392657453,2266,2266,0,9,full,standard,expanded,none,fixed504,union,raw,10,f_cumret10,3027488
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,93.59719176674984,45.85467073932778,2.041170294272229,0.04123390327267117,3.7236885947247487,183.47069493877495,2266,2266,0,9,full,standard,expanded,none,fixed504,union,raw,10,f_cumret10,3027488
