model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,basis,interaction_term,n_features,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,period
li1_ols_cq_s_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.07009382124057181,0.002860740073046668,24.501988803870034,1.4067754044939977e-132,0.06448687372826986,0.07570076875287376,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cq_s_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,36.88195403896937,5.177811783586738,7.123077388769191,1.0554351805875386e-12,26.733629424412264,47.03027865352647,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cq_s_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,28.64576073685803,6.160784470435734,4.6496936996129,3.3242835112213095e-06,16.57084505829032,40.72067641542574,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.07009731244973678,0.0029643989818835506,23.64638258146939,1.2859269836106191e-123,0.06428719720943782,0.07590742769003575,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,33.38236924273174,5.386143018458813,6.197824515302928,5.724891724290703e-10,22.82572291097061,43.93901557449287,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,32.46641370489466,6.6978538358069075,4.847286086078549,1.2516187383677514e-06,19.33886141299967,45.593965996789656,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cq_s_joint_raw_fixed504_union,enet,characteristics_core,504,rank_ic,0.07002093859342409,0.0031381631521858033,22.31271453960349,2.780966471292096e-110,0.06387025183752923,0.07617162534931896,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cq_s_joint_raw_fixed504_union,enet,characteristics_core,504,ew_spread_bp,30.463601086008968,5.493409637921052,5.545481421177565,2.9314646342347174e-08,19.696716043358485,41.23048612865945,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_enet_cq_s_joint_raw_fixed504_union,enet,characteristics_core,504,cap_spread_bp,30.66263910318639,6.5586409909566035,4.675151322578205,2.93736948165196e-06,17.807938973383358,43.51733923298942,2266,2266,0,5,cq_s,,189,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cq_s_squares_joint_raw_fixed504_union,ols,characteristics_core,504,rank_ic,0.07025617423256916,0.002845358298864693,24.691503442853435,1.3196244934446328e-134,0.06467937444368221,0.07583297402145611,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cq_s_squares_joint_raw_fixed504_union,ols,characteristics_core,504,ew_spread_bp,37.17014207592612,5.153321915062595,7.212850795771534,5.47924429737645e-13,27.069816721662455,47.27046743018979,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ols_cq_s_squares_joint_raw_fixed504_union,ols,characteristics_core,504,cap_spread_bp,29.612494741075437,6.044114844325984,4.899393129313992,9.613312263506066e-07,17.766247327772593,41.458742154378285,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_squares_joint_raw_fixed504_union,ridge,characteristics_core,504,rank_ic,0.07028094797535887,0.002948850881131832,23.833334003102777,1.5077258188316104e-125,0.06450130645256127,0.07606058949815647,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_squares_joint_raw_fixed504_union,ridge,characteristics_core,504,ew_spread_bp,34.53947587753891,5.346746856727026,6.459904836168364,1.0476884454462515e-10,24.0600446039012,45.01890715117662,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
li1_ridge_cq_s_squares_joint_raw_fixed504_union,ridge,characteristics_core,504,cap_spread_bp,32.789536126683046,6.483020257176827,5.0577562348944385,4.2421821446569035e-07,20.083049911572864,45.49602234179323,2266,2266,0,5,cq_s_squares,,191,explicit,standard,original,none,fixed504,union,raw,full
