family,comparison,model_id,benchmark_id,metric,family_size,observed_family_size,p_bonferroni,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,period
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_retain,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,57,57,1.0,0.00023876051553881799,0.00022408642480772385,1.065484068228074,0.286656931398819,-0.00020044080650866364,0.0006779618375862996,2266,2266,0,5,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_retain,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,57,57,1.0,0.00023876051553881799,0.00022725314832314954,1.0506367779746013,0.29342544285660854,-0.00020664747054789407,0.00068416850162553,2266,2266,0,21,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_retain,ld2_ridge_characteristics_full_raw_fixed504_retain,rank_ic,57,57,1.0,0.00023876051553881799,0.00021315275688231288,1.1201380598170907,0.262654934059103,-0.00017901121115593738,0.0006565322422335733,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_retain,ld2_ols_characteristics_full_raw_select_retain,rank_ic,90,90,1.0,0.0010350394862956424,0.0004198068579347996,2.4655135254040914,0.013681700969016497,0.0002122331642805122,0.0018578458083107726,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_retain,ld2_ols_characteristics_full_raw_select_retain,rank_ic,90,90,1.0,0.0010350394862956424,0.0004178318372650132,2.4771675922798586,0.013242970193225139,0.00021610413366201565,0.0018539748389292691,2266,2266,0,21,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_retain,ld2_ols_characteristics_full_raw_select_retain,rank_ic,90,90,1.0,0.0010350394862956424,0.0004797043459946308,2.1576612656063516,0.030954177587053235,9.483624491882507e-05,0.00197524272767246,2266,2266,0,63,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,1.7701927655596137e-05,0.0002857684227622477,0.06194500947476519,0.9506066239198245,-0.0005423938888772255,0.0005777977441884178,2266,2266,0,5,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,1.7701927655596137e-05,0.0002622646116487621,0.06749644011942962,0.9461864959377976,-0.0004963272655953614,0.0005317311209065538,2266,2266,0,21,raw,full
refit,recent_minus_retain,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_select_retain,rank_ic,114,114,1.0,1.7701927655596137e-05,0.00026423077562989523,0.06699419328954705,0.9465863259000763,-0.0005001808761860823,0.0005355847314972746,2266,2266,0,63,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,57,57,1.0,0.0001811212182206589,0.00028232451913171947,0.6415355590711417,0.5211747855463283,-0.0003722246712301007,0.0007344671076714185,2266,2266,0,5,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,57,57,1.0,0.0001811212182206589,0.0002725077134120496,0.6646462074517197,0.5062768073169746,-0.00035298408557632097,0.0007152265220176388,2266,2266,0,21,raw,full
history,selected_minus_fixed504,ld2_ridge_characteristics_full_raw_select_recent,ld2_ridge_characteristics_full_raw_fixed504_recent,rank_ic,57,57,1.0,0.0001811212182206589,0.00026817232799402274,0.6753911545440882,0.4994272838288658,-0.00034448688629788813,0.0007067293227392059,2266,2266,0,63,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_recent,ld2_ols_characteristics_full_raw_select_recent,rank_ic,90,90,1.0,0.0006812387958300083,0.0004252097427113566,1.6021241458064397,0.10912815955339446,-0.00015215698575979343,0.0015146345774198098,2266,2266,0,5,raw,full
estimator,versus_ols,ld2_ridge_characteristics_full_raw_select_recent,ld2_ols_characteristics_full_raw_select_recent,rank_ic,90,90,1.0,0.0006812387958300083,0.00045298697383666523,1.5038816459999231,0.132611843661041,-0.00020659935835564336,0.0015690769500156599,2266,2266,0,21,raw,full
