model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,year
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,rank_ic,0.06392541995648457,0.01205989566945409,5.300661109233149,1.153840929488999e-07,0.040288458787043985,0.08756238112592515,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,ew_spread_bp,23.246000920763706,17.774163249622905,1.3078534609080341,0.1909230172274845,-11.590718903832595,58.08272074536001,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_enet_characteristics_full_raw_standard_expanded_none_fixed504_union,enet,characteristics,504,cap_spread_bp,16.811831837128175,17.726141609797782,0.9484202601560939,0.34291554933554436,-17.93076730293233,51.55443097718868,252,252,0,5,full,standard,expanded,none,fixed504,union,raw,2015
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,rank_ic,0.06472032926757189,0.011801174783911121,5.484227668232401,4.1527967582272457e-08,0.041590451715843836,0.08785020681929995,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,ew_spread_bp,24.74765202579304,17.1392170749498,1.4439196328263741,0.1487615833552253,-8.8445961643225,58.339900215908585,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ols,characteristics_core,504,cap_spread_bp,12.954290870973265,16.14956044623266,0.8021451056889427,0.4224690259207694,-18.69826596979535,44.60684771174188,252,252,0,5,full,standard,original,none,fixed504,union,raw,2015
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,rank_ic,0.05496101047668915,0.011872994873234316,4.62907725165363,3.6729873817553366e-06,0.03169036813652119,0.07823165281685712,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,ew_spread_bp,11.217986094428072,23.560006770486247,0.47614528313637444,0.6339708780110044,-34.958778651244806,57.39475084010095,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,ols,characteristics,504,cap_spread_bp,1.6432466694858152,22.44454015805655,0.07321364830439468,0.9416361057596346,-42.34724368986796,45.63373702883958,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,ridge,characteristics,504,rank_ic,0.0547400732309147,0.012025027665152581,4.552178569164242,5.309324084271507e-06,0.03117145209411786,0.07830869436771154,252,252,0,5,full,standard,original,none,fixed504,union,raw,2016
