model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,representation,transform,penalty_grid,pca_grid,history_policy,refit_policy,target,subgroup,stock_days
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,ew_spread_bp,15.758998649240636,5.361160003772738,2.9394755310699114,0.003287682289009691,5.251318126489451,26.26667917199182,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,ridge,characteristics,504,cap_spread_bp,15.228975269536594,5.3731642432960225,2.8342657287160815,0.004593112131410776,4.697766869657977,25.760183669415213,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,rank_ic,0.03380687683393626,0.0034817372611512963,9.709772535437507,2.7394777823772694e-22,0.02698279719844859,0.040630956469423926,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,12.715815428940074,5.19918172382121,2.4457339836151006,0.014455761494405927,2.5256065011716267,22.90602435670852,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,12.584595422835942,5.212537766020914,2.4142933802554727,0.015765762054631212,2.3682091333800805,22.800981712291804,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,rank_ic,0.033925976955420975,0.003496725259019899,9.702214055252979,2.95025880066727e-22,0.027072521383910482,0.04077943252693147,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,ew_spread_bp,13.59296162999917,5.191957160677786,2.618080467409841,0.00884259504335498,3.4169125857958704,23.76901067420247,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,lasso,characteristics,504,cap_spread_bp,13.700886281685815,5.1641380851846215,2.653082867979894,0.007976028656397658,3.5793616235323196,23.82241093983931,2266,2266,0,5,full,standard,expanded,none,fixed504,union,raw,size_tercile_2,1011055
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,rank_ic,0.03354140926523033,0.003492448075649513,9.603982232145977,7.691401820962787e-22,0.026696336819081068,0.040386481711379596,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
ld3_enet_characteristics_full_raw_standard_original_none_fixed504_union,enet,characteristics,504,ew_spread_bp,12.61389042350685,5.184000075492613,2.4332349999644256,0.014964584992565817,2.453436979688407,22.774343867325292,2266,2266,0,5,full,standard,original,none,fixed504,union,raw,size_tercile_2,1011055
