family,comparison,model_id,benchmark_id,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,metric,family_size,observed_family_size,p_bonferroni,target,period
incremental_social,core_given_characteristics,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0009884969682053344,0.00020445793370362192,4.83472052318713,1.3333282380150322e-06,0.0005877667817927575,0.0013892271546179114,2266,2266,0,21,rank_ic,72,72,9.599963313708233e-05,raw,full
incremental_social,core_given_characteristics,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_full_raw_standard_original_none_fixed504_union,0.0009884969682053344,0.00020134204037972056,4.9095408308224195,9.128989156703005e-07,0.0005938738204872729,0.001383120115923396,2266,2266,0,63,rank_ic,72,72,6.572872192826164e-05,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,0.0010433464798630483,0.00024254200568838758,4.301714570644378,1.694815429817626e-05,0.0005679728839756996,0.001518720075750397,2266,2266,0,5,rank_ic,72,72,0.0012202671094686908,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,0.0010433464798630483,0.00024980432054597015,4.176655061780834,2.9582710491154983e-05,0.0005537390084104477,0.0015329539513156487,2266,2266,0,21,rank_ic,72,72,0.0021299551553631588,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_original_none_fixed504_union,0.0010433464798630483,0.00023247785588151746,4.487939188473893,7.191544876681573e-06,0.0005876982551321809,0.0014989947045939158,2266,2266,0,63,rank_ic,72,72,0.0005177912311210732,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.001060465048878588,0.0004558329335347983,2.326433591919554,0.01999543132535385,0.00016704891618314318,0.001953881181574033,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.001060465048878588,0.000495622900191828,2.139661118298087,0.03238216343802908,8.906201458931532e-05,0.0020318680831678607,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.001060465048878588,0.0005463476266384627,1.9410078806480016,0.052257321497638995,-1.0356622371735088e-05,0.002131286720128911,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,-8.40711964532177e-05,7.513468896138713e-05,-1.1189398347868742,0.2631658073183736,-0.00023133248080715562,6.319008790072023e-05,2266,2266,0,5,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,-8.40711964532177e-05,7.445175233873701e-05,-1.1292037300977766,0.25881190056743786,-0.00022999394962303798,6.185155671660259e-05,2266,2266,0,21,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_core_full_raw_standard_original_none_fixed504_union,-8.40711964532177e-05,6.987257318376161e-05,-1.2032073905753315,0.2288960756481504,-0.00022101892340052964,5.287653049409425e-05,2266,2266,0,63,rank_ic,38,38,1.0,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0011319536237859552,0.0002581479468934976,4.3849026785131,1.1603764477615315e-05,0.0006259929451917413,0.001637914302380169,2266,2266,0,5,rank_ic,72,72,0.0008354710423883027,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0011319536237859552,0.00027142787169526743,4.170366207110821,3.0411055478917034e-05,0.0005999647708628723,0.001663942476709038,2266,2266,0,21,rank_ic,72,72,0.0021895959944820266,raw,full
incremental_social,core_given_characteristics,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ridge_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0011319536237859552,0.00025583634072057497,4.4245224138124986,9.66558688726458e-06,0.0006305236100371101,0.0016333836375348,2266,2266,0,63,rank_ic,72,72,0.0006959222558830499,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0009763938524253704,0.00045855510599895547,2.129283568434618,0.03323080643215049,7.764235974047076e-05,0.0018751453451102702,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0009763938524253704,0.0004975222089135471,1.9625130997821152,0.04970277699297406,1.2682414460054572e-06,0.0019515194634047352,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_ridge_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0009763938524253704,0.0005526517104284683,1.7667435638050897,0.07727118405462187,-0.00010678359600888639,0.002059571300859627,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,0.0010634376295544797,0.0002746658546353445,3.8717503890912646,0.00010805657863078703,0.0005251024466862907,0.0016017728124226686,2266,2266,0,5,rank_ic,72,72,0.0077800736614166656,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,0.0010634376295544797,0.0002736195671077029,3.8865554857627798,0.00010167669437824081,0.0005271531325579417,0.0015997221265510177,2266,2266,0,21,rank_ic,72,72,0.007320721995233339,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_original_none_fixed504_union,0.0010634376295544797,0.00030082001437646013,3.535129242509923,0.0004075757583100152,0.00047384123554779656,0.0016530340235611628,2266,2266,0,63,rank_ic,72,72,0.029345454598321094,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0005359424716928687,0.000418151251157144,1.281695248333618,0.1999495724635013,-0.0002836189206654961,0.0013555038640512334,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0005359424716928687,0.0004487152931120094,1.1943931484391939,0.23232421570656614,-0.0003435233421190036,0.0014154082855047409,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0005359424716928687,0.000491896461336813,1.0895432551727515,0.27591439094524506,-0.0004281568766499839,0.0015000418200357213,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,-0.00020064634954973957,0.00015702836970974362,-1.2777713346997162,0.20133006443886492,-0.0005084162987318774,0.00010712359963239827,2266,2266,0,5,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,-0.00020064634954973957,0.00016283841870760844,-1.2321806557825816,0.21788160765834597,-0.0005198037855161055,0.00011851108641662634,2266,2266,0,21,rank_ic,38,38,1.0,raw,full
penalty_expansion,expanded_minus_original_penalties,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_core_full_raw_standard_original_none_fixed504_union,-0.00020064634954973957,0.0001694294189060816,-1.184247404289111,0.2363151421176004,-0.0005327219085272092,0.00013142920942773009,2266,2266,0,63,rank_ic,38,38,1.0,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0010644103498352459,0.0002657122063977943,4.005876750132175,6.178786289576062e-05,0.0005436239950428958,0.001585196704627596,2266,2266,0,5,rank_ic,72,72,0.004448726128494764,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0010644103498352459,0.00026381460650226835,4.03469073963535,5.4674261069838936e-05,0.0005473432224951935,0.0015814774771752982,2266,2266,0,21,rank_ic,72,72,0.003936546797028403,raw,full
incremental_social,core_given_characteristics,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_lasso_characteristics_full_raw_standard_expanded_none_fixed504_union,0.0010644103498352459,0.0002876347746355931,3.7005621145209453,0.0002151224129294425,0.0005006565508481884,0.0016281641488223033,2266,2266,0,63,rank_ic,72,72,0.01548881373091986,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0003352961221431294,0.0004851028049956344,0.6911857006189581,0.489448848837332,-0.000615487904447671,0.00128608014873393,2266,2266,0,5,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0003352961221431294,0.0005239638299496312,0.6399222674881232,0.5222231364553486,-0.0006916541137598171,0.001362246358046076,2266,2266,0,21,rank_ic,76,76,1.0,raw,full
estimator,versus_ols,ld3_lasso_characteristics_core_full_raw_standard_expanded_none_fixed504_union,ld3_ols_characteristics_core_full_raw_standard_original_none_fixed504_union,0.0003352961221431294,0.0005742529744205114,0.5838822558672552,0.5592995320496243,-0.000790219025736074,0.0014608112700223328,2266,2266,0,63,rank_ic,76,76,1.0,raw,full
