model_id,estimator,feature_set,fit_days,metric,mean,se,t,p,ci_low,ci_high,n,calendar_days,missing_days,hac_lags,target,subgroup,stock_days
ols_textall_raw_fit504_val126,ols,textall,504,rank_ic,0.05487057071037386,0.0018223284018548378,30.110144063234937,3.569024466701988e-199,0.05129887267473394,0.05844226874601378,2266,2266,0,5,raw,size_tercile_1,1010848
ols_textall_raw_fit504_val126,ols,textall,504,ew_spread_bp,60.17409173299032,5.592995647614561,10.758830423666582,5.384924154402207e-27,49.2120216979765,71.13616176800413,2266,2266,0,5,raw,size_tercile_1,1010848
ols_textall_raw_fit504_val126,ols,textall,504,cap_spread_bp,37.01303677516573,5.3306480626396215,6.943440336002538,3.826642678638011e-12,26.56515855813386,47.4609149921976,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_textall_raw_fit504_val126,ridge,textall,504,rank_ic,0.058731844526002636,0.0019443186491038692,30.206902841297115,1.922399585357155e-200,0.054921049999289484,0.06254263905271579,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_textall_raw_fit504_val126,ridge,textall,504,ew_spread_bp,62.10909730878407,5.666830192591201,10.960112655216905,5.942534872262361e-28,51.00231422480114,73.215880392767,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_textall_raw_fit504_val126,ridge,textall,504,cap_spread_bp,38.01544566280164,5.3319740683997265,7.129713155977732,1.0057830845076993e-12,27.56496852223667,48.46592280336661,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_textall_raw_fit504_val126,lasso,textall,504,rank_ic,0.05628480827327759,0.0018893738597419822,29.79019106412533,5.234425634870631e-195,0.05258170355485187,0.0599879129917033,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_textall_raw_fit504_val126,lasso,textall,504,ew_spread_bp,62.66891045869758,5.732122411705698,10.93293303205109,8.021306302362386e-28,51.43415697677953,73.90366394061563,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_textall_raw_fit504_val126,lasso,textall,504,cap_spread_bp,36.94461738438082,5.3722594352053745,6.876923542127573,6.115891271433244e-12,26.415182375772794,47.474052392988845,2266,2266,0,5,raw,size_tercile_1,1010848
enet_textall_raw_fit504_val126,enet,textall,504,rank_ic,0.05626530328674084,0.001890435850190343,29.763138104408906,1.1724849993089712e-194,0.05256011710528441,0.059970489468197274,2266,2266,0,5,raw,size_tercile_1,1010848
enet_textall_raw_fit504_val126,enet,textall,504,ew_spread_bp,62.67775991809111,5.738553753924999,10.92222232391243,9.025986176850672e-28,51.43040123705099,73.92511859913124,2266,2266,0,5,raw,size_tercile_1,1010848
enet_textall_raw_fit504_val126,enet,textall,504,cap_spread_bp,36.60896290175902,5.385830880973045,6.797273013360005,1.0661794012627801e-11,26.05292834822822,47.16499745528982,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_raw_fit504_val126,ols,characteristics,504,rank_ic,0.0856750481769487,0.0024020026798211936,35.66817343572922,1.2318573838042045e-278,0.08096720943373047,0.09038288692016692,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_raw_fit504_val126,ols,characteristics,504,ew_spread_bp,57.20513074264405,7.706559316300899,7.422914480349729,1.1457075919085843e-13,42.10055203797267,72.30970944731544,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_raw_fit504_val126,ols,characteristics,504,cap_spread_bp,53.574872675073415,8.589597861709509,6.237180545307962,4.455276883131818e-10,36.73957022444052,70.4101751257063,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_raw_fit504_val126,ridge,characteristics,504,rank_ic,0.08764703680252102,0.0025712634504526347,34.08714761884551,1.143652024559848e-254,0.08260745304486966,0.09268662056017238,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_raw_fit504_val126,ridge,characteristics,504,ew_spread_bp,43.56025876635491,8.05613357460576,5.407092417591476,6.405609535810229e-08,27.7705271054837,59.349990427226125,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_raw_fit504_val126,ridge,characteristics,504,cap_spread_bp,45.412493211611114,8.482640825777956,5.35357963920938,8.623105632320117e-08,28.78682269929722,62.03816372392501,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_raw_fit504_val126,lasso,characteristics,504,rank_ic,0.08632249412364623,0.0025533185571911675,33.80796096927566,1.5065166589633828e-250,0.08131808171049378,0.09132690653679869,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_raw_fit504_val126,lasso,characteristics,504,ew_spread_bp,44.77956790407482,7.930521963801554,5.646484318241444,1.63762095559986e-08,29.23603047641991,60.32310533172972,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_raw_fit504_val126,lasso,characteristics,504,cap_spread_bp,43.9209242470324,8.504907286804748,5.164186129950545,2.4148731170212256e-07,27.251612273042827,60.59023622102198,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_raw_fit504_val126,enet,characteristics,504,rank_ic,0.08642847043805284,0.002546860097433253,33.935303523407576,2.0095626638437927e-252,0.0814367163734215,0.09142022450268418,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_raw_fit504_val126,enet,characteristics,504,ew_spread_bp,43.837140390898156,7.938113432622799,5.522362556667839,3.344714189970192e-08,28.278723957763848,59.39555682403247,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_raw_fit504_val126,enet,characteristics,504,cap_spread_bp,43.057805121946465,8.462619675230334,5.0879995526650585,3.618602241801476e-07,26.47137534363496,59.64423490025797,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_sentiment_raw_fit504_val126,ols,characteristics_sentiment,504,rank_ic,0.08786589495249189,0.0023826429633816253,36.877491215799296,1.0607399551743655e-297,0.08319600055624612,0.09253578934873766,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_sentiment_raw_fit504_val126,ols,characteristics_sentiment,504,ew_spread_bp,62.76299318583352,7.553315392163324,8.30933039694742,9.624360575832171e-17,47.958767053321374,77.56721931834568,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_sentiment_raw_fit504_val126,ols,characteristics_sentiment,504,cap_spread_bp,55.615569889365716,8.546605857432054,6.507328267747705,7.649912514158508e-11,38.86453021873982,72.36660955999162,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_sentiment_raw_fit504_val126,ridge,characteristics_sentiment,504,rank_ic,0.08970983908056236,0.002571379193976408,34.88782957049369,1.1371889283396626e-266,0.08467002846977296,0.09474964969135176,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_sentiment_raw_fit504_val126,ridge,characteristics_sentiment,504,ew_spread_bp,48.552761623712016,7.951990980895167,6.105736505531897,1.0232770501265445e-09,32.96714569577015,64.13837755165387,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_sentiment_raw_fit504_val126,ridge,characteristics_sentiment,504,cap_spread_bp,47.81928614760642,8.578549227236202,5.574285917225263,2.4854724149865938e-08,31.00563862261955,64.63293367259328,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_sentiment_raw_fit504_val126,lasso,characteristics_sentiment,504,rank_ic,0.08819627503103201,0.0025465103111310112,34.63417157414155,7.732985777671142e-263,0.08320520653495535,0.09318734352710868,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_sentiment_raw_fit504_val126,lasso,characteristics_sentiment,504,ew_spread_bp,49.14459678807277,7.673839898783574,6.404172804786163,1.5118680066796081e-10,34.10414696333047,64.18504661281507,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_sentiment_raw_fit504_val126,lasso,characteristics_sentiment,504,cap_spread_bp,46.23494181778109,8.218646081604403,5.625615382230371,1.848477996198232e-08,30.126691496155225,62.34319213940696,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_sentiment_raw_fit504_val126,enet,characteristics_sentiment,504,rank_ic,0.08842462502007908,0.002544987324264729,34.744622960205035,1.67097850671663e-264,0.08343654152340925,0.09341270851674892,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_sentiment_raw_fit504_val126,enet,characteristics_sentiment,504,ew_spread_bp,48.25084386190223,7.682575000815767,6.280556175081761,3.3736395330785446e-10,33.193273551775555,63.30841417202891,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_sentiment_raw_fit504_val126,enet,characteristics_sentiment,504,cap_spread_bp,45.37080582103906,8.196563160285962,5.5353451115792005,3.106161263679445e-08,29.30583722987077,61.43577441220735,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_attention_raw_fit504_val126,ols,characteristics_attention,504,rank_ic,0.08760860897186558,0.0024088194754748704,36.369935507348295,1.2721381505828243e-289,0.08288740955467616,0.092329808389055,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_attention_raw_fit504_val126,ols,characteristics_attention,504,ew_spread_bp,64.02939473511536,7.705142377947578,8.309956077952567,9.573750212857037e-17,48.9275931785848,79.13119629164592,2266,2266,0,5,raw,size_tercile_1,1010848
ols_characteristics_attention_raw_fit504_val126,ols,characteristics_attention,504,cap_spread_bp,60.7325920390799,8.448169598016447,7.188846215083011,6.534111872765869e-13,44.17448389168143,77.29070018647836,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_attention_raw_fit504_val126,ridge,characteristics_attention,504,rank_ic,0.09005815555882432,0.0025741937787317377,34.98499464294194,3.805144156068182e-268,0.08501282846328305,0.09510348265436559,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_attention_raw_fit504_val126,ridge,characteristics_attention,504,ew_spread_bp,50.805423140328266,7.855556235482345,6.4674507593552635,9.967000314284105e-11,35.40881584025382,66.20203044040271,2266,2266,0,5,raw,size_tercile_1,1010848
ridge_characteristics_attention_raw_fit504_val126,ridge,characteristics_attention,504,cap_spread_bp,48.27793809252024,8.354134044259226,5.7789278741218855,7.517814390786596e-09,31.90413624375221,64.65173994128827,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_attention_raw_fit504_val126,lasso,characteristics_attention,504,rank_ic,0.0887405881408451,0.002549369786682655,34.808833384786446,1.7880447007540072e-265,0.08374391517567253,0.09373726110601766,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_attention_raw_fit504_val126,lasso,characteristics_attention,504,ew_spread_bp,51.568577270571744,7.827496448059431,6.5881316731043,4.4539557199834265e-11,36.22696614326006,66.91018839788343,2266,2266,0,5,raw,size_tercile_1,1010848
lasso_characteristics_attention_raw_fit504_val126,lasso,characteristics_attention,504,cap_spread_bp,46.049160186464036,8.268480443520405,5.569240987024462,2.5585141571092482e-08,29.84323631029027,62.255084062637806,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_attention_raw_fit504_val126,enet,characteristics_attention,504,rank_ic,0.08892788789117315,0.002543627262437392,34.96105314029358,8.796413454527738e-268,0.08394247006670165,0.09391330571564464,2266,2266,0,5,raw,size_tercile_1,1010848
enet_characteristics_attention_raw_fit504_val126,enet,characteristics_attention,504,ew_spread_bp,51.33730864930861,7.878484572573144,6.516140023682453,7.213963823084584e-11,35.895762634310806,66.77885466430641,2266,2266,0,5,raw,size_tercile_1,1010848
